input_a,input_b,output
"[[0.037, 0.552], [0.514, 0.12]]","[[0.481, 0.204], [0.383, 0.685]]","[[0.518, 0.756], [0.897, 0.805]]"
"[[0.484, 0.508], [0.162, 0.61]]","[[0.289, 0.28], [0.914, 0.863]]","[[0.7729999999999999, 0.788], [1.076, 1.4729999999999999]]"
"[[0.135, 0.962], [0.571, 0.386]]","[[0.036, 0.896], [0.653, 0.002]]","[[0.171, 1.858], [1.224, 0.388]]"
"[[0.073, 0.861], [0.933, 0.721]]","[[0.568, 0.888], [0.369, 0.645]]","[[0.6409999999999999, 1.749], [1.302, 1.366]]"
"[[0.186, 0.24], [0.075, 0.425]]","[[0.137, 0.773], [0.449, 0.177]]","[[0.323, 1.013], [0.524, 0.602]]"
"[[0.706, 0.351], [0.526, 0.95]]","[[0.161, 0.875], [0.445, 0.388]]","[[0.867, 1.226], [0.9710000000000001, 1.338]]"
"[[0.068, 0.989], [0.807, 0.621]]","[[0.738, 0.937], [0.628, 0.032]]","[[0.806, 1.9260000000000002], [1.435, 0.653]]"
"[[0.5, 0.92], [0.425, 0.321]]","[[0.731, 0.848], [0.972, 0.745]]","[[1.2309999999999999, 1.768], [1.397, 1.066]]"
"[[0.876, 0.888], [0.891, 0.364]]","[[0.746, 0.792], [0.124, 0.765]]","[[1.6219999999999999, 1.6800000000000002], [1.0150000000000001, 1.129]]"
"[[0.869, 0.27], [0.485, 0.952]]","[[0.163, 0.002], [0.002, 0.541]]","[[1.032, 0.272], [0.487, 1.4929999999999999]]"
"[[0.21, 0.769], [0.717, 0.969]]","[[0.456, 0.809], [0.614, 0.507]]","[[0.666, 1.578], [1.331, 1.476]]"
"[[0.438, 0.663], [0.515, 0.785]]","[[0.757, 0.198], [0.116, 0.755]]","[[1.195, 0.861], [0.631, 1.54]]"
"[[0.622, 0.789], [0.915, 0.024]]","[[0.97, 0.826], [0.088, 0.538]]","[[1.592, 1.615], [1.0030000000000001, 0.562]]"
"[[0.358, 0.247], [0.261, 0.176]]","[[0.533, 0.418], [0.326, 0.126]]","[[0.891, 0.665], [0.587, 0.302]]"
"[[0.174, 0.072], [0.462, 0.717]]","[[0.724, 0.022], [0.094, 0.954]]","[[0.8979999999999999, 0.094], [0.556, 1.6709999999999998]]"
"[[0.346, 0.179], [0.884, 0.374]]","[[0.579, 0.73], [0.888, 0.318]]","[[0.9249999999999999, 0.909], [1.772, 0.692]]"
"[[0.493, 0.345], [0.082, 0.841]]","[[0.672, 0.296], [0.362, 0.864]]","[[1.165, 0.641], [0.444, 1.705]]"
"[[0.53, 0.739], [0.331, 0.0]]","[[0.139, 0.376], [0.856, 0.545]]","[[0.669, 1.115], [1.187, 0.545]]"
"[[0.099, 0.887], [0.399, 0.408]]","[[0.451, 0.273], [0.519, 0.879]]","[[0.55, 1.1600000000000001], [0.918, 1.287]]"
"[[0.582, 0.636], [0.564, 0.507]]","[[0.99, 0.918], [0.597, 0.427]]","[[1.572, 1.554], [1.161, 0.9339999999999999]]"
"[[0.857, 0.212], [0.449, 0.043]]","[[0.707, 0.247], [0.192, 0.658]]","[[1.564, 0.45899999999999996], [0.641, 0.7010000000000001]]"
"[[0.867, 0.106], [0.32, 0.685]]","[[0.652, 0.312], [0.511, 0.294]]","[[1.5190000000000001, 0.418], [0.831, 0.9790000000000001]]"
"[[0.173, 0.058], [0.023, 0.795]]","[[0.09, 0.077], [0.272, 0.228]]","[[0.263, 0.135], [0.29500000000000004, 1.0230000000000001]]"
"[[0.046, 0.113], [0.074, 0.519]]","[[0.787, 0.164], [0.758, 0.324]]","[[0.8330000000000001, 0.277], [0.832, 0.843]]"
"[[0.114, 0.033], [0.426, 0.822]]","[[0.734, 0.824], [0.197, 0.206]]","[[0.848, 0.857], [0.623, 1.028]]"
"[[0.558, 0.773], [0.546, 0.034]]","[[0.633, 0.749], [0.1, 0.052]]","[[1.191, 1.522], [0.646, 0.086]]"
"[[0.243, 0.326], [0.945, 0.118]]","[[0.106, 0.399], [0.437, 0.714]]","[[0.349, 0.7250000000000001], [1.382, 0.832]]"
"[[0.631, 0.056], [0.219, 0.676]]","[[0.84, 0.343], [0.214, 0.625]]","[[1.471, 0.399], [0.433, 1.3010000000000002]]"
"[[0.312, 0.591], [0.139, 0.473]]","[[0.407, 0.691], [0.996, 0.869]]","[[0.719, 1.282], [1.135, 1.342]]"
"[[0.079, 0.462], [0.1, 0.492]]","[[0.308, 0.745], [0.249, 0.077]]","[[0.387, 1.207], [0.349, 0.569]]"
"[[0.317, 0.513], [0.553, 0.343]]","[[0.166, 0.814], [0.126, 0.216]]","[[0.483, 1.327], [0.679, 0.559]]"
"[[0.061, 0.397], [0.259, 0.506]]","[[0.833, 0.487], [0.002, 0.069]]","[[0.8939999999999999, 0.884], [0.261, 0.575]]"
"[[0.48, 0.576], [0.018, 0.682]]","[[0.34, 0.313], [0.054, 0.722]]","[[0.8200000000000001, 0.889], [0.072, 1.404]]"
"[[0.726, 0.203], [0.705, 0.318]]","[[0.365, 0.505], [0.364, 0.799]]","[[1.091, 0.708], [1.069, 1.117]]"
"[[0.364, 0.982], [0.835, 0.394]]","[[0.414, 0.983], [0.517, 0.167]]","[[0.778, 1.9649999999999999], [1.3519999999999999, 0.561]]"
"[[0.876, 0.444], [0.911, 0.348]]","[[0.553, 0.446], [0.08, 0.589]]","[[1.429, 0.89], [0.991, 0.9369999999999999]]"
"[[0.375, 0.032], [0.133, 0.173]]","[[0.874, 0.56], [0.509, 0.268]]","[[1.249, 0.5920000000000001], [0.642, 0.441]]"
"[[0.041, 0.948], [0.517, 0.72]]","[[0.224, 0.906], [0.802, 0.624]]","[[0.265, 1.854], [1.319, 1.3439999999999999]]"
"[[0.209, 0.524], [0.221, 0.994]]","[[0.13, 0.845], [0.939, 0.575]]","[[0.33899999999999997, 1.369], [1.16, 1.569]]"
"[[0.635, 0.579], [0.952, 0.341]]","[[0.71, 0.488], [0.235, 0.903]]","[[1.345, 1.067], [1.1869999999999998, 1.244]]"
"[[0.68, 0.606], [0.031, 0.985]]","[[0.802, 0.253], [0.748, 0.43]]","[[1.4820000000000002, 0.859], [0.779, 1.415]]"
"[[0.424, 0.786], [0.78, 0.29]]","[[0.778, 0.481], [0.344, 0.338]]","[[1.202, 1.267], [1.124, 0.628]]"
"[[0.767, 0.148], [0.848, 0.409]]","[[0.804, 0.264], [0.209, 0.666]]","[[1.5710000000000002, 0.41200000000000003], [1.057, 1.075]]"
"[[0.493, 0.294], [0.185, 0.264]]","[[0.491, 0.668], [0.917, 0.107]]","[[0.984, 0.962], [1.102, 0.371]]"
"[[0.624, 0.471], [0.688, 0.88]]","[[0.223, 0.482], [0.852, 0.429]]","[[0.847, 0.953], [1.54, 1.309]]"
"[[0.823, 0.614], [0.357, 0.506]]","[[0.771, 0.039], [0.7, 0.76]]","[[1.5939999999999999, 0.653], [1.057, 1.266]]"
"[[0.655, 0.75], [0.097, 0.239]]","[[0.042, 0.934], [0.804, 0.245]]","[[0.6970000000000001, 1.6840000000000002], [0.901, 0.484]]"
"[[0.122, 0.856], [0.817, 0.615]]","[[0.754, 0.64], [0.825, 0.743]]","[[0.876, 1.496], [1.642, 1.358]]"
"[[0.761, 0.88], [0.528, 0.699]]","[[0.79, 0.396], [0.752, 0.492]]","[[1.5510000000000002, 1.276], [1.28, 1.1909999999999998]]"
"[[0.12, 0.679], [0.698, 0.381]]","[[0.581, 1.0], [0.865, 0.39]]","[[0.701, 1.679], [1.563, 0.771]]"
"[[0.911, 0.203], [0.48, 0.508]]","[[0.037, 0.11], [0.521, 0.379]]","[[0.9480000000000001, 0.313], [1.001, 0.887]]"
"[[0.741, 0.479], [0.58, 0.86]]","[[0.89, 0.827], [0.209, 0.028]]","[[1.631, 1.306], [0.7889999999999999, 0.888]]"
"[[0.013, 0.757], [0.733, 0.502]]","[[0.741, 0.9], [0.605, 0.09]]","[[0.754, 1.657], [1.338, 0.592]]"
"[[0.352, 0.616], [0.502, 0.437]]","[[0.832, 0.453], [0.755, 0.764]]","[[1.184, 1.069], [1.2570000000000001, 1.201]]"
"[[0.158, 0.582], [0.959, 0.406]]","[[0.712, 0.839], [0.886, 0.273]]","[[0.87, 1.4209999999999998], [1.845, 0.679]]"
"[[0.012, 0.488], [0.275, 0.037]]","[[0.763, 0.512], [0.25, 0.714]]","[[0.775, 1.0], [0.525, 0.751]]"
"[[0.121, 0.848], [0.534, 0.563]]","[[0.645, 0.561], [0.458, 0.445]]","[[0.766, 1.409], [0.992, 1.008]]"
"[[0.988, 0.363], [0.028, 0.38]]","[[0.151, 0.905], [0.382, 0.173]]","[[1.139, 1.268], [0.41000000000000003, 0.5529999999999999]]"
"[[0.375, 0.686], [0.143, 0.22]]","[[0.191, 0.701], [0.436, 0.217]]","[[0.5660000000000001, 1.387], [0.579, 0.437]]"
"[[0.512, 0.773], [0.434, 0.613]]","[[0.692, 0.772], [0.37, 0.763]]","[[1.204, 1.545], [0.804, 1.376]]"
"[[0.215, 0.276], [0.135, 0.068]]","[[0.223, 0.51], [0.245, 0.939]]","[[0.438, 0.786], [0.38, 1.007]]"
"[[0.136, 0.65], [0.929, 0.42]]","[[0.566, 0.099], [0.969, 0.885]]","[[0.702, 0.749], [1.8980000000000001, 1.305]]"
"[[0.204, 0.087], [0.128, 0.511]]","[[0.409, 0.514], [0.359, 0.847]]","[[0.613, 0.601], [0.487, 1.358]]"
"[[0.611, 0.954], [0.928, 0.401]]","[[0.819, 0.799], [0.766, 0.912]]","[[1.43, 1.7530000000000001], [1.694, 1.3130000000000002]]"
"[[0.915, 0.159], [0.747, 0.399]]","[[0.371, 0.033], [0.039, 0.992]]","[[1.286, 0.192], [0.786, 1.391]]"
"[[0.306, 0.373], [0.325, 0.882]]","[[0.462, 0.457], [0.209, 0.446]]","[[0.768, 0.8300000000000001], [0.534, 1.328]]"
"[[0.4, 0.943], [0.096, 0.863]]","[[0.153, 0.404], [0.516, 0.627]]","[[0.553, 1.347], [0.612, 1.49]]"
"[[0.151, 0.071], [0.983, 0.093]]","[[0.675, 0.379], [0.302, 0.722]]","[[0.8260000000000001, 0.45], [1.285, 0.815]]"
"[[0.102, 0.19], [0.809, 0.538]]","[[0.972, 0.561], [0.323, 0.036]]","[[1.074, 0.7510000000000001], [1.1320000000000001, 0.5740000000000001]]"
"[[0.42, 0.544], [0.228, 0.79]]","[[0.44, 0.17], [0.174, 0.8]]","[[0.86, 0.7140000000000001], [0.402, 1.59]]"
"[[0.815, 0.358], [0.151, 0.095]]","[[0.947, 0.109], [0.697, 0.821]]","[[1.762, 0.46699999999999997], [0.848, 0.9159999999999999]]"
"[[0.834, 0.382], [0.289, 0.623]]","[[0.196, 0.114], [0.829, 0.671]]","[[1.03, 0.496], [1.1179999999999999, 1.294]]"
"[[0.655, 0.092], [0.615, 0.954]]","[[0.68, 0.119], [0.699, 0.584]]","[[1.335, 0.211], [1.314, 1.5379999999999998]]"
"[[0.095, 0.029], [0.176, 0.862]]","[[0.111, 0.063], [0.235, 0.602]]","[[0.20600000000000002, 0.092], [0.411, 1.464]]"
"[[0.382, 0.316], [0.799, 0.411]]","[[0.606, 0.995], [0.242, 0.788]]","[[0.988, 1.311], [1.041, 1.199]]"
"[[0.365, 0.225], [0.185, 0.528]]","[[0.35, 0.864], [0.662, 0.55]]","[[0.715, 1.089], [0.847, 1.078]]"
"[[0.901, 0.293], [0.956, 0.4]]","[[0.832, 0.256], [0.256, 0.548]]","[[1.733, 0.5489999999999999], [1.212, 0.9480000000000001]]"
"[[0.178, 0.069], [0.088, 0.641]]","[[0.935, 0.935], [0.179, 0.615]]","[[1.113, 1.004], [0.267, 1.256]]"
"[[0.577, 0.905], [0.866, 0.79]]","[[0.506, 0.183], [0.945, 0.144]]","[[1.083, 1.088], [1.811, 0.934]]"
"[[0.118, 0.328], [0.703, 0.932]]","[[0.123, 0.245], [0.997, 0.831]]","[[0.241, 0.573], [1.7, 1.763]]"
"[[0.753, 0.363], [0.616, 0.697]]","[[0.123, 0.525], [0.61, 0.715]]","[[0.876, 0.888], [1.226, 1.412]]"
"[[0.631, 0.745], [0.887, 0.317]]","[[0.934, 0.274], [0.646, 0.034]]","[[1.565, 1.0190000000000001], [1.533, 0.351]]"
"[[0.667, 0.034], [0.78, 0.021]]","[[0.861, 0.291], [0.415, 0.005]]","[[1.528, 0.32499999999999996], [1.195, 0.026000000000000002]]"
"[[0.798, 0.867], [0.778, 0.874]]","[[0.655, 0.825], [0.743, 0.873]]","[[1.453, 1.692], [1.521, 1.7469999999999999]]"
"[[0.21, 0.669], [0.279, 0.815]]","[[0.735, 0.324], [0.324, 0.921]]","[[0.945, 0.9930000000000001], [0.603, 1.736]]"
"[[0.644, 0.313], [0.115, 0.184]]","[[0.408, 0.871], [0.35, 0.319]]","[[1.052, 1.184], [0.46499999999999997, 0.503]]"
"[[0.026, 0.143], [0.41, 0.876]]","[[0.454, 0.799], [0.458, 0.367]]","[[0.48000000000000004, 0.9420000000000001], [0.868, 1.2429999999999999]]"
"[[0.379, 0.411], [0.271, 0.543]]","[[0.433, 0.106], [0.947, 0.049]]","[[0.812, 0.517], [1.218, 0.5920000000000001]]"
"[[0.546, 0.963], [0.847, 0.024]]","[[0.649, 0.743], [0.059, 0.401]]","[[1.195, 1.706], [0.9059999999999999, 0.42500000000000004]]"
"[[0.388, 0.843], [0.435, 0.74]]","[[0.826, 0.993], [0.518, 0.176]]","[[1.214, 1.8359999999999999], [0.9530000000000001, 0.9159999999999999]]"
"[[0.418, 0.398], [0.178, 0.148]]","[[0.766, 0.206], [0.302, 0.722]]","[[1.184, 0.604], [0.48, 0.87]]"
"[[0.791, 0.319], [0.051, 0.362]]","[[0.104, 0.089], [0.192, 0.068]]","[[0.895, 0.40800000000000003], [0.243, 0.43]]"
"[[0.747, 0.149], [0.663, 0.771]]","[[0.553, 0.951], [0.693, 0.421]]","[[1.3, 1.0999999999999999], [1.3559999999999999, 1.192]]"
"[[0.01, 0.107], [0.585, 0.72]]","[[0.048, 0.656], [0.506, 0.97]]","[[0.058, 0.763], [1.091, 1.69]]"
"[[0.141, 0.109], [0.502, 0.946]]","[[0.184, 0.779], [0.809, 0.173]]","[[0.32499999999999996, 0.888], [1.311, 1.119]]"
"[[0.508, 0.636], [0.157, 0.03]]","[[0.386, 0.49], [0.58, 0.196]]","[[0.894, 1.126], [0.737, 0.226]]"
"[[0.956, 0.346], [0.405, 0.944]]","[[0.111, 0.307], [0.749, 0.065]]","[[1.067, 0.653], [1.154, 1.009]]"
"[[0.373, 0.973], [0.108, 0.353]]","[[0.657, 0.487], [0.452, 0.003]]","[[1.03, 1.46], [0.56, 0.356]]"
"[[0.15, 0.007], [0.965, 0.897]]","[[0.902, 0.453], [0.314, 0.483]]","[[1.052, 0.46], [1.279, 1.38]]"
"[[0.921, 0.171], [0.381, 0.733]]","[[0.158, 0.602], [0.383, 0.048]]","[[1.079, 0.773], [0.764, 0.781]]"
"[[0.517, 0.839], [0.073, 0.937]]","[[0.23, 0.711], [0.725, 0.587]]","[[0.747, 1.5499999999999998], [0.7979999999999999, 1.524]]"
"[[0.365, 0.877], [0.089, 0.441]]","[[0.053, 0.654], [0.957, 0.456]]","[[0.418, 1.5310000000000001], [1.046, 0.897]]"
"[[0.041, 0.646], [0.536, 0.495]]","[[0.704, 0.832], [0.174, 0.084]]","[[0.745, 1.478], [0.71, 0.579]]"
"[[0.145, 0.504], [0.357, 0.456]]","[[0.407, 0.703], [0.652, 0.62]]","[[0.5519999999999999, 1.2069999999999999], [1.009, 1.076]]"
"[[0.458, 0.585], [0.037, 0.176]]","[[0.556, 0.508], [0.256, 0.732]]","[[1.014, 1.093], [0.293, 0.9079999999999999]]"
"[[0.566, 0.133], [0.318, 0.068]]","[[0.673, 0.145], [0.291, 0.192]]","[[1.2389999999999999, 0.278], [0.609, 0.26]]"
"[[0.294, 0.054], [0.885, 0.082]]","[[0.694, 0.637], [0.74, 0.291]]","[[0.988, 0.6910000000000001], [1.625, 0.373]]"
"[[0.29, 0.111], [0.14, 0.512]]","[[0.457, 0.29], [0.244, 0.382]]","[[0.747, 0.40099999999999997], [0.384, 0.894]]"
"[[0.719, 0.499], [0.632, 0.752]]","[[0.336, 0.489], [0.655, 0.633]]","[[1.055, 0.988], [1.287, 1.385]]"
"[[0.259, 0.336], [0.377, 0.963]]","[[0.593, 0.77], [0.444, 0.832]]","[[0.852, 1.106], [0.821, 1.795]]"
"[[0.268, 0.694], [0.341, 0.774]]","[[0.934, 0.28], [0.25, 0.707]]","[[1.202, 0.974], [0.591, 1.4809999999999999]]"
"[[0.004, 0.482], [0.594, 0.768]]","[[0.298, 0.08], [0.619, 0.302]]","[[0.302, 0.5619999999999999], [1.213, 1.07]]"
"[[0.104, 0.334], [0.221, 0.377]]","[[0.326, 0.853], [0.446, 0.323]]","[[0.43, 1.187], [0.667, 0.7]]"
"[[0.64, 0.032], [0.864, 0.78]]","[[0.153, 0.574], [0.987, 0.644]]","[[0.793, 0.606], [1.851, 1.424]]"
"[[0.759, 0.542], [0.535, 0.266]]","[[0.085, 0.109], [0.026, 0.178]]","[[0.844, 0.651], [0.561, 0.444]]"
"[[0.785, 0.247], [0.028, 0.767]]","[[0.868, 0.933], [0.03, 0.901]]","[[1.653, 1.1800000000000002], [0.057999999999999996, 1.6680000000000001]]"
"[[0.978, 0.92], [0.515, 0.601]]","[[0.558, 0.451], [0.138, 0.956]]","[[1.536, 1.371], [0.653, 1.557]]"
"[[0.903, 0.689], [0.76, 0.679]]","[[0.368, 0.197], [0.666, 0.601]]","[[1.271, 0.8859999999999999], [1.4260000000000002, 1.28]]"
"[[0.536, 0.836], [0.995, 0.294]]","[[0.463, 0.95], [0.324, 0.415]]","[[0.9990000000000001, 1.786], [1.319, 0.709]]"
"[[0.346, 0.242], [0.061, 0.548]]","[[0.806, 0.827], [0.377, 0.527]]","[[1.1520000000000001, 1.069], [0.438, 1.0750000000000002]]"
"[[0.514, 0.411], [0.616, 0.433]]","[[0.314, 0.719], [0.275, 0.558]]","[[0.8280000000000001, 1.13], [0.891, 0.9910000000000001]]"
"[[0.666, 0.15], [0.733, 0.56]]","[[0.972, 0.1], [0.168, 0.03]]","[[1.638, 0.25], [0.901, 0.5900000000000001]]"
"[[0.715, 0.177], [0.915, 0.496]]","[[0.035, 0.137], [0.877, 0.601]]","[[0.75, 0.314], [1.792, 1.097]]"
"[[0.512, 0.101], [0.121, 0.232]]","[[0.906, 0.57], [0.217, 0.828]]","[[1.4180000000000001, 0.6709999999999999], [0.33799999999999997, 1.06]]"
"[[0.778, 0.853], [0.46, 0.482]]","[[0.671, 0.091], [0.853, 0.237]]","[[1.449, 0.944], [1.313, 0.719]]"
"[[0.94, 0.47], [0.246, 0.695]]","[[0.989, 0.927], [0.422, 0.532]]","[[1.9289999999999998, 1.397], [0.6679999999999999, 1.2269999999999999]]"
"[[0.18, 0.827], [0.538, 0.913]]","[[0.745, 0.457], [0.267, 0.804]]","[[0.925, 1.284], [0.805, 1.717]]"
"[[0.699, 0.581], [0.25, 0.779]]","[[0.164, 0.764], [0.848, 0.229]]","[[0.863, 1.345], [1.0979999999999999, 1.008]]"
"[[0.346, 0.055], [0.221, 0.447]]","[[0.167, 0.296], [0.626, 0.268]]","[[0.513, 0.351], [0.847, 0.7150000000000001]]"
"[[0.98, 0.973], [0.44, 0.09]]","[[0.67, 0.836], [0.437, 0.125]]","[[1.65, 1.809], [0.877, 0.215]]"
"[[0.94, 0.842], [0.068, 0.561]]","[[0.649, 0.388], [0.244, 0.599]]","[[1.589, 1.23], [0.312, 1.1600000000000001]]"
"[[0.95, 0.903], [0.256, 0.799]]","[[0.078, 0.907], [0.47, 0.568]]","[[1.028, 1.81], [0.726, 1.367]]"
"[[0.831, 0.114], [0.655, 0.747]]","[[0.005, 0.858], [0.531, 0.125]]","[[0.836, 0.972], [1.186, 0.872]]"
"[[0.511, 0.253], [0.224, 0.672]]","[[0.055, 0.067], [0.318, 0.394]]","[[0.5660000000000001, 0.32], [0.542, 1.066]]"
"[[0.549, 0.103], [0.39, 0.62]]","[[0.409, 0.549], [0.204, 0.644]]","[[0.958, 0.652], [0.594, 1.264]]"
"[[0.315, 0.805], [0.369, 0.045]]","[[0.022, 0.172], [0.675, 0.565]]","[[0.337, 0.9770000000000001], [1.044, 0.61]]"
"[[0.621, 0.434], [0.727, 0.333]]","[[0.823, 0.186], [0.116, 0.22]]","[[1.444, 0.62], [0.843, 0.553]]"
"[[0.365, 0.55], [0.367, 0.292]]","[[0.883, 0.766], [0.55, 0.966]]","[[1.248, 1.316], [0.917, 1.258]]"
"[[0.892, 0.791], [0.982, 0.593]]","[[0.773, 0.801], [0.989, 0.943]]","[[1.665, 1.592], [1.971, 1.536]]"
"[[0.36, 0.059], [0.044, 0.522]]","[[0.521, 0.242], [0.491, 0.447]]","[[0.881, 0.301], [0.535, 0.9690000000000001]]"
"[[0.7, 0.369], [0.777, 0.592]]","[[0.507, 0.775], [0.248, 0.133]]","[[1.2069999999999999, 1.1440000000000001], [1.025, 0.725]]"
"[[0.126, 0.496], [0.597, 0.441]]","[[0.477, 0.729], [0.283, 0.371]]","[[0.603, 1.225], [0.8799999999999999, 0.812]]"
"[[0.965, 0.286], [0.96, 0.432]]","[[0.202, 0.477], [0.514, 0.464]]","[[1.167, 0.7629999999999999], [1.474, 0.896]]"
"[[0.127, 0.823], [0.872, 0.482]]","[[0.419, 0.901], [0.843, 0.626]]","[[0.546, 1.724], [1.7149999999999999, 1.108]]"
"[[0.355, 0.257], [0.247, 0.719]]","[[0.391, 0.412], [0.687, 0.687]]","[[0.746, 0.669], [0.934, 1.4060000000000001]]"
"[[0.994, 0.727], [0.97, 0.524]]","[[0.47, 0.187], [0.284, 0.704]]","[[1.464, 0.9139999999999999], [1.254, 1.228]]"
